City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,blackmans bay,-43.0167,147.3167,6.07,83,54,0.45,AU,1718136469
1,tiksi,71.6872,128.8694,0.92,87,43,0.59,RU,1718136469
2,twon-brass,4.3151,6.2418,26.61,82,100,4.49,NG,1718136469
3,boa vista,2.8197,-60.6733,31.99,55,40,2.06,BR,1718136469
4,lihue,21.9789,-159.3672,28.58,67,0,5.66,US,1718136469
5,zhosaly,45.4878,64.0781,26.92,29,65,8.43,KZ,1718136469
6,diu,20.7141,70.9822,29.14,80,100,6.28,IN,1718136469
7,fisterra,42.9049,-9.2629,14.86,75,8,10.3,ES,1718136469
8,kurchatov,51.6601,35.6521,23.23,71,7,4.35,RU,1718136341
9,sinop,41.7711,34.8709,21.56,26,0,2.92,TR,1718136469
10,klyavlino,54.2649,52.0267,18.19,80,1,1.78,RU,1718136469
11,amga,60.8953,131.9608,12.37,74,9,1.08,RU,1718136469
12,sur,22.5667,59.5289,32.36,48,0,6.38,OM,1718136470
13,ushuaia,-54.8,-68.3,-1.19,74,0,1.54,AR,1718136368
14,adamstown,-25.066,-130.1015,22.73,80,95,6.96,PN,1718136470
15,port alfred,-33.5906,26.891,17.88,53,100,0.89,ZA,1718136470
16,port-aux-francais,-49.35,70.2167,2.01,66,80,17.33,TF,1718136470
17,aswan,24.0934,32.907,36.61,11,0,1.54,EG,1718135638
18,sitka,57.0531,-135.33,10.94,76,100,4.63,US,1718136470
19,galliano,29.4422,-90.2992,32.0,65,0,6.17,US,1718136470
20,bethel,41.3712,-73.414,23.34,60,100,3.09,US,1718136414
21,touros,-5.1989,-35.4608,26.63,80,11,6.19,BR,1718136470
22,ilulissat,69.2167,-51.1,2.26,97,100,0.53,GL,1718136470
23,corfu,39.62,19.9197,25.1,83,0,0.0,GR,1718136327
24,walvis bay,-22.9575,14.5053,14.49,69,19,2.54,NA,1718136470
25,utrik,11.2278,169.8474,27.93,82,34,9.84,MH,1718136470
26,ust'-ilimsk,58.0006,102.6619,13.02,89,21,1.34,RU,1718136470
27,west island,-12.1568,96.8225,26.99,89,75,7.2,CC,1718136470
28,fale old settlement,-9.3852,-171.2468,28.8,76,100,3.91,TK,1718136471
29,ribeira grande,38.5167,-28.7,21.22,73,40,1.54,PT,1718136471
30,punta arenas,-53.15,-70.9167,2.06,93,100,2.06,CL,1718136471
31,puerto natales,-51.7236,-72.4875,0.27,94,38,0.8,CL,1718136471
32,nuevo ideal,24.8875,-105.0728,31.73,15,4,6.42,MX,1718136471
33,ancud,-41.8697,-73.8203,12.64,87,83,3.31,CL,1718136471
34,albany,42.6001,-73.9662,19.21,66,100,0.45,US,1718136469
35,al qadarif,14.0349,35.3834,24.34,72,100,11.87,SD,1718136471
36,ust-nera,64.5667,143.2,11.98,58,36,1.77,RU,1718136471
37,edinburgh of the seven seas,-37.0676,-12.3116,16.2,85,98,15.17,SH,1718136471
38,grytviken,-54.2811,-36.5092,-8.86,74,18,6.79,GS,1718136471
39,acarau,-2.8856,-40.12,27.56,77,59,5.11,BR,1718136471
40,marshall,34.3834,-86.3333,28.51,47,0,2.06,US,1718136267
41,invercargill,-46.4,168.35,2.23,84,100,3.13,NZ,1718136471
42,haiku-pauwela,20.9219,-156.3051,25.7,78,40,9.26,US,1718136471
43,mar del plata,-38.0023,-57.5575,15.61,86,0,9.39,AR,1718136301
44,rongelap,11.1635,166.8941,28.06,81,26,8.93,MH,1718136472
45,waitangi,-43.9535,-176.5597,8.79,85,0,3.58,NZ,1718136472
46,olonkinbyen,70.9221,-8.7187,-1.15,83,15,2.1,SJ,1718136472
47,seminole,28.7086,-81.2081,27.12,86,100,3.09,US,1718136472
48,bredasdorp,-34.5322,20.0403,15.59,67,0,8.11,ZA,1718136472
49,selfoss,63.9331,-20.9971,12.25,80,7,3.57,IS,1718136472
50,chiredzi,-21.05,31.6667,17.13,56,80,2.06,ZW,1718136472
51,hirara,24.8,125.2833,27.83,89,100,9.37,JP,1718136472
52,georgetown,5.4112,100.3354,28.96,79,20,1.03,MY,1718136445
53,okhotsk,59.3833,143.3,6.28,83,6,2.24,RU,1718136472
54,keflavik,64.0049,-22.5624,10.24,71,75,7.72,IS,1718136473
55,avarua,-21.2078,-159.775,23.03,64,100,3.09,CK,1718136473
56,chinde,26.8418,88.0763,20.5,80,32,2.09,NP,1718136473
57,iqaluit,63.7506,-68.5145,0.39,86,100,2.24,CA,1718136473
58,hawaiian paradise park,19.5933,-154.9731,28.35,62,0,4.63,US,1718136473
59,bilibino,68.0546,166.4372,13.69,46,24,1.77,RU,1718136473
60,aasiaat,68.7098,-52.8699,1.77,83,100,2.81,GL,1718136473
61,pacocha,-17.5833,-71.3333,19.08,68,0,4.12,PE,1718136473
62,afaahiti,-17.75,-149.2833,26.93,64,54,7.44,PF,1718136473
63,klyuchi,52.2667,79.1667,15.18,84,92,4.65,RU,1718136473
64,santa terezinha,-29.9002,-50.0904,18.34,92,54,4.38,BR,1718136473
65,tura,25.5198,90.2201,24.33,95,21,2.09,IN,1718136473
66,port mathurin,-19.6833,63.4167,24.44,67,67,9.52,MU,1718136473
67,selkirk,50.1436,-96.8845,18.38,72,91,4.92,CA,1718136473
68,anadyr,64.75,177.4833,9.28,66,0,3.0,RU,1718136474
69,naze,28.3667,129.4833,24.12,94,100,7.45,JP,1718136474
70,whitehorse,60.7161,-135.0538,15.61,39,100,0.89,CA,1718136474
71,mizhirah,16.8261,42.7333,33.91,75,0,3.09,SA,1718136474
72,mount gambier,-37.8333,140.7667,11.1,71,98,5.83,AU,1718136474
73,varberg,57.1056,12.2508,12.91,82,79,1.09,SE,1718136474
74,la passe,45.5549,-0.8967,19.13,67,99,5.67,FR,1718136474
75,lobujya,27.95,86.8167,0.04,86,84,0.44,NP,1718136474
76,lagoa,39.05,-27.9833,18.82,62,28,1.14,PT,1718136474
77,kingston,17.997,-76.7936,32.31,70,20,7.2,JM,1718136474
78,labytnangi,66.6572,66.4183,10.21,71,100,2.38,RU,1718136474
79,qaqortoq,60.7167,-46.0333,2.17,99,100,2.48,GL,1718136474
80,yellowknife,62.456,-114.3525,16.34,70,63,4.02,CA,1718136475
81,paka,4.6374,103.4368,25.93,87,16,1.07,MY,1718136475
82,jamestown,42.097,-79.2353,16.42,77,100,2.57,US,1718136475
83,muroto-misakicho,33.2833,134.15,21.58,85,100,3.67,JP,1718136475
84,uyuni,-20.4597,-66.825,9.96,19,99,3.15,BO,1718136344
85,pico truncado,-46.7949,-67.9573,7.02,79,16,5.51,AR,1718136475
86,hermanus,-34.4187,19.2345,14.87,82,3,8.82,ZA,1718136475
87,panaba,21.2833,-88.2667,32.55,58,100,0.28,MX,1718136475
88,papatowai,-46.5619,169.4708,3.09,85,99,3.53,NZ,1718136475
89,hadibu,12.65,54.0333,28.17,73,100,6.73,YE,1718136475
90,okahao,-17.885,15.0667,17.79,32,2,4.04,NA,1718136475
91,ola,59.5833,151.2833,6.75,65,93,2.4,RU,1718136475
92,portland,45.5234,-122.6762,23.03,61,40,2.57,US,1718136156
93,homer,59.6425,-151.5483,12.09,76,75,5.14,US,1718136289
94,korla,41.7597,86.1469,25.53,33,0,4.79,CN,1718136476
95,pandino,45.4071,9.5535,17.85,85,84,7.41,IT,1718136476
96,la rinconada,37.4873,-5.9826,22.47,70,0,5.14,ES,1718136476
97,roma,43.2128,-75.4557,18.1,72,100,3.09,US,1718136476
98,kidal,18.4411,1.4078,36.58,14,0,1.45,ML,1718136476
99,lompoc,34.6391,-120.4579,28.9,76,0,3.6,US,1718136476
100,tofol,5.3248,163.0078,28.88,80,55,8.28,FM,1718136476
101,port elizabeth,-33.918,25.5701,21.72,42,0,4.12,ZA,1718136190
102,san mariano,7.5,126.0,23.08,95,100,0.8,PH,1718136476
103,udachny,66.4167,112.4,16.92,45,94,4.75,RU,1718136476
104,ta`u,-14.2336,-169.5144,27.27,81,100,8.93,AS,1718136476
105,pocinhos,-7.0767,-36.0611,25.16,72,60,4.69,BR,1718136320
106,dazuocun,24.8862,118.9643,25.6,95,100,8.66,CN,1718136476
107,jaumave,23.4167,-99.3833,36.19,30,5,4.79,MX,1718136477
108,rudsar,37.1376,50.288,24.21,82,100,2.69,IR,1718136477
109,nova sintra,14.8667,-24.7167,23.97,82,34,4.89,CV,1718136477
110,amboasary,-25.0333,46.3833,18.11,89,100,4.6,MG,1718136477
111,aykhal,66.0,111.5,15.0,53,100,1.73,RU,1718136477
112,puerto ayora,-0.7393,-90.3518,28.98,94,100,0.89,EC,1718136477
113,east london,-33.0153,27.9116,21.04,31,100,5.53,ZA,1718136182
114,college,64.8569,-147.8028,19.69,69,75,2.06,US,1718136477
115,sompeta,18.9333,84.6,27.99,91,99,4.73,IN,1718136477
116,nuuk,64.1835,-51.7216,6.34,100,100,8.75,GL,1718136300
117,juan griego,11.0817,-63.9655,30.12,67,91,5.98,VE,1718136478
118,takoradi,4.8845,-1.7554,25.76,81,60,3.56,GH,1718136478
119,stanley,54.868,-1.6985,9.84,83,40,3.09,GB,1718136478
120,sao vicente,-23.9631,-46.3919,27.93,66,0,2.68,BR,1718136279
121,paracuru,-3.41,-39.0306,28.39,86,9,4.2,BR,1718136304
122,uryupinsk,50.8047,42.0138,20.32,74,20,3.62,RU,1718136478
123,pizarro,4.9533,-77.366,28.01,76,87,3.38,CO,1718136478
124,isangel,-19.55,169.2667,24.06,94,40,0.0,VU,1718136478
125,saipan,15.1355,145.701,28.39,83,40,3.6,MP,1718136478
126,altai,46.3722,96.2583,12.31,63,58,1.15,MN,1718136478
127,severoural'sk,60.1533,59.952,16.1,66,87,2.02,RU,1718136217
128,colonia,50.9333,6.95,13.13,62,0,3.6,DE,1718136478
129,cova figueira,14.8905,-24.2934,18.45,83,7,3.87,CV,1718136479
130,sao joao da barra,-21.6403,-41.0511,25.05,77,7,4.22,BR,1718136479
131,beau vallon,-20.4189,57.6953,24.01,79,73,8.14,MU,1718136479
132,serowe,-22.3833,26.7167,9.13,67,5,2.41,BW,1718136479
133,vorgashor,67.5833,63.95,5.45,69,15,3.41,RU,1718136479
134,rio grande,-32.035,-52.0986,18.06,90,100,5.12,BR,1718136348
135,kapuskasing,49.4169,-82.4331,22.52,23,81,3.09,CA,1718136479
136,thompson,55.7435,-97.8558,17.09,67,100,1.54,CA,1718136479
137,lebu,-37.6167,-73.65,12.63,93,100,8.66,CL,1718136473
138,sampang,-7.1872,113.2394,26.01,83,23,3.06,ID,1718136479
139,badger,64.8,-147.5333,19.64,66,75,2.06,US,1718136479
140,ishqoshim,36.7248,71.6133,13.79,61,11,2.13,TJ,1718136479
141,longyearbyen,78.2186,15.6401,2.91,81,75,5.66,SJ,1718136479
142,medina,24.4686,39.6142,38.24,7,0,2.57,SA,1718136480
143,harstad,68.799,16.5293,10.69,97,100,1.79,NO,1718136480
144,kone,-21.0595,164.8658,16.68,79,8,0.87,NC,1718136480
145,kuanda,56.3161,116.0806,11.95,77,100,0.99,RU,1718136480
146,fortuna,40.5982,-124.1573,21.07,66,20,7.72,US,1718136480
147,alice springs,-23.7,133.8833,7.75,81,0,3.09,AU,1718136480
148,guerrero negro,27.9769,-114.0611,21.08,61,1,8.27,MX,1718136225
149,acajutla,13.5928,-89.8275,28.51,79,100,5.16,SV,1718136227
150,luanda,-8.8368,13.2343,22.29,94,14,3.14,AO,1718136480
151,al jawf,29.5,38.75,28.62,15,0,3.63,SA,1718136480
152,vernon,50.2581,-119.2691,26.63,27,92,1.54,CA,1718136247
153,mazatlan,23.2167,-106.4167,31.98,71,20,3.09,MX,1718136230
154,opuwo,-18.0607,13.84,18.11,37,0,3.28,NA,1718136481
155,sundumbili,-29.1337,31.3975,15.88,54,92,5.64,ZA,1718136481
156,kodiak,57.79,-152.4072,7.73,93,100,2.06,US,1718136481
157,sao jose de ribamar,-2.5619,-44.0542,30.21,75,99,3.57,BR,1718136481
158,arica,-18.475,-70.3042,22.75,68,0,5.14,CL,1718136225
159,tolanaro,-25.0319,46.9987,18.31,89,100,4.65,MG,1718136481
160,guelendeng,10.9176,15.5501,29.44,55,78,2.38,TD,1718136481
161,broome,42.2506,-75.833,17.01,81,100,2.57,US,1718136481
162,rio preto da eva,-2.6994,-59.6997,29.44,81,99,1.25,BR,1718136349
163,prince rupert,54.3161,-130.3201,10.6,93,100,0.74,CA,1718136481
164,muzaffarpur,26.1167,85.4,31.8,59,0,5.6,IN,1718136481
165,dapa,9.7594,126.0531,27.6,82,90,2.27,PH,1718136482
166,salalah,17.0151,54.0924,30.05,79,40,2.57,OM,1718136482
167,ariquemes,-9.9133,-63.0408,34.39,36,6,1.15,BR,1718136004
168,enewetak,11.3474,162.3373,28.05,80,86,9.25,MH,1718136482
169,whakatane,-37.9585,176.9854,7.51,96,7,1.79,NZ,1718136482
170,torres,-29.3353,-49.7269,18.93,91,5,3.05,BR,1718136482
171,les avirons,-21.2418,55.3394,22.03,78,0,0.0,RE,1718136482
172,norak,38.3892,69.3227,22.84,46,13,4.24,TJ,1718136482
173,margaret river,-33.95,115.0667,12.42,82,0,0.26,AU,1718136482
174,magnaga,7.1694,125.8931,25.84,90,100,1.02,PH,1718136482
175,kovalam,8.3667,76.9967,28.05,83,40,1.54,IN,1718136483
176,chonchi,-42.6128,-73.8092,12.84,90,25,1.33,CL,1718136483
177,dudinka,69.4058,86.1778,9.79,89,100,5.12,RU,1718136483
178,manokwari,-0.8667,134.0833,25.77,82,100,2.43,ID,1718136483
179,hami,42.8,93.45,28.65,22,36,6.8,CN,1718136483
180,cill airne,52.05,-9.5167,10.5,78,21,2.01,IE,1718136483
181,daru,-9.0763,143.2092,25.06,89,100,8.16,PG,1718136483
182,suva,-18.1416,178.4415,21.71,100,75,1.54,FJ,1718136483
183,illizi,26.4833,8.4667,37.36,7,0,6.86,DZ,1718136483
184,kangding,30.0513,101.9603,12.98,87,96,0.81,CN,1718136483
185,puerto baquerizo moreno,-0.9,-89.6,25.55,69,20,7.72,EC,1718136483
186,st. john's,47.5649,-52.7093,21.66,56,75,5.66,CA,1718136314
187,luderitz,-26.6481,15.1594,14.68,91,100,3.69,NA,1718136484
188,sao miguel do araguaia,-13.275,-50.1628,32.35,30,12,3.41,BR,1718136484
189,tynda,55.1667,124.7167,8.78,91,28,0.48,RU,1718136484
190,maceio,-9.6658,-35.7353,25.69,88,75,4.12,BR,1718136016
191,lata,40.1629,-8.3327,17.82,82,0,1.88,PT,1718136484
192,yeniseysk,58.4497,92.1703,13.3,79,30,1.34,RU,1718136484
193,serhetabat,35.2799,62.3438,28.7,19,0,3.24,TM,1718136484
194,talnakh,69.4865,88.3972,9.56,90,100,1.55,RU,1718136362
195,argostolion,38.1811,20.489,23.04,60,0,0.0,GR,1718136251
196,san antonio de pale,-1.4014,5.6325,24.75,85,87,4.76,GQ,1718136484
197,praia da vitoria,38.7333,-27.0667,20.98,74,78,1.28,PT,1718136484
198,shakhtersk,48.0625,38.5167,20.86,56,10,2.36,UA,1718136484
199,gadzhiyevo,69.2551,33.3362,6.76,91,99,4.17,RU,1718136484
200,porto seguro,-16.4497,-39.0647,25.29,78,40,2.06,BR,1718136472
201,metlili chaamba,32.2667,3.6333,34.72,10,3,3.55,DZ,1718136485
202,rhinelander,45.6366,-89.4121,17.53,59,100,3.09,US,1718136329
203,kiunga,-6.1219,141.2906,23.39,100,100,0.34,PG,1718136485
204,kavaratti,10.5669,72.642,28.72,82,100,6.57,IN,1718136485
205,midar,34.9403,-3.5331,23.36,53,10,1.91,MA,1718136485
206,vorkuta,67.5,64.0,5.62,69,10,3.13,RU,1718136485
207,miri,4.4148,114.0089,24.71,88,83,2.08,MY,1718136485
208,grand falls-windsor,48.9332,-55.6649,19.72,80,80,0.89,CA,1718136485
209,palmer,42.1584,-72.3287,22.92,56,75,1.54,US,1718136199
210,isafjordur,66.0755,-23.124,9.53,59,76,0.37,IS,1718136485
211,santa ana,33.7456,-117.8678,29.29,74,100,2.24,US,1718136485
212,iskateley,67.6803,53.1512,6.68,90,61,3.58,RU,1718136485
213,lichinga,-13.3128,35.2406,10.15,77,1,1.97,MZ,1718136485
214,egilsstadir,65.2653,-14.3948,12.54,63,22,2.24,IS,1718136486
215,naranjo,10.0987,-84.3782,22.52,92,99,1.45,CR,1718136317
216,nyurba,63.2842,118.3319,12.46,83,50,2.08,RU,1718136486
217,myitkyina,25.3833,97.4,24.71,99,100,0.79,MM,1718136486
218,pontes e lacerda,-15.2261,-59.3353,34.49,27,47,1.38,BR,1718136468
219,golere,16.2557,-14.1017,39.52,17,13,2.13,SN,1718136486
220,kavalerovo,44.2661,135.0572,18.0,92,89,0.89,RU,1718136486
221,vilyuchinsk,52.9306,158.4028,8.85,93,100,1.64,RU,1718136486
222,castillos,-34.1667,-53.8333,13.54,83,100,3.63,UY,1718136486
223,agapovka,53.2973,59.1348,18.85,66,7,2.49,RU,1718136486
224,tari,12.4086,4.4914,27.24,69,100,1.57,NG,1718136486
225,susuman,62.7833,148.1667,9.43,52,13,1.79,RU,1718136486
226,q'vareli,41.9549,45.8172,19.56,69,42,3.65,GE,1718136486
227,serang,-6.1149,106.1502,24.55,90,90,1.35,ID,1718136358
228,tazovsky,67.4667,78.7,1.97,81,39,2.52,RU,1718136486
229,kilindoni,-7.9139,39.6668,26.23,72,48,7.18,TZ,1718136487
230,pariaman,-0.619,100.12,26.03,81,99,1.54,ID,1718136487
231,tucurui,-3.7661,-49.6725,27.42,69,100,2.2,BR,1718136487
232,turpan,42.9333,89.1667,33.21,20,86,1.22,CN,1718136487
233,ivdel',60.6911,60.4206,16.77,68,96,1.34,RU,1718136487
234,tchibanga,-2.85,11.0333,21.69,89,68,1.15,GA,1718136487
235,darlowo,54.421,16.4107,12.48,86,15,7.55,PL,1718136487
236,tahe,52.3333,124.7333,7.83,76,0,0.46,CN,1718136487
237,prado,-17.3411,-39.2208,23.04,73,18,2.67,BR,1718136339
238,tete,-16.1564,33.5867,19.18,63,15,2.3,MZ,1718136487
239,wailua homesteads,22.0669,-159.378,28.24,74,0,5.66,US,1718136487
240,hailey,43.5196,-114.3153,27.11,30,0,4.12,US,1718136349
241,talara,-4.5772,-81.2719,26.42,61,0,6.04,PE,1718136488
242,puerto leguizamo,-0.1934,-74.7819,25.8,90,85,0.09,CO,1718136488
243,weno,7.4515,151.8468,27.97,83,75,3.6,FM,1718136488
244,posse,-14.0931,-46.3694,28.33,29,13,2.92,BR,1718136194
245,tchollire,8.4022,14.1698,22.78,93,97,1.3,CM,1718136430
246,concordia,-31.393,-58.0209,25.44,75,0,4.63,AR,1718136488
247,saint-pierre,-21.3393,55.4781,22.82,78,0,0.0,RE,1718136488
248,habo,57.9119,14.0744,12.46,87,0,3.09,SE,1718136488
249,tabou,4.423,-7.3528,26.28,81,100,3.74,CI,1718136488
250,east ballina,-28.8667,153.5833,14.68,60,100,5.92,AU,1718136488
251,dolores,-36.3132,-57.6792,13.38,73,100,5.33,AR,1718135905
252,new plymouth,-39.0667,174.0833,9.89,100,43,2.7,NZ,1718136488
253,bima,-8.4667,118.7167,21.59,96,33,1.6,ID,1718136458
254,qandala,11.472,49.8728,34.22,49,99,2.78,SO,1718136488
255,shahr-e babak,30.1165,55.1186,26.51,17,70,5.86,IR,1718136488
256,abadan,30.3392,48.3043,37.67,9,0,5.09,IR,1718136489
257,alofi,-19.0595,-169.9187,22.94,94,75,4.12,NU,1718136489
258,yelizovo,53.1873,158.3805,8.78,87,100,1.0,RU,1718136489
259,hithadhoo,-0.6,73.0833,28.37,74,84,3.06,MV,1718136489
260,mityana,0.4175,32.0228,17.42,93,38,0.95,UG,1718136489
261,bataipora,-22.2953,-53.2711,29.59,31,0,1.55,BR,1718136489
262,patong,7.8961,98.2966,29.08,78,100,6.02,TH,1718136489
263,okha,53.5739,142.9478,6.25,95,100,4.02,RU,1718136293
264,olds,51.7834,-114.102,23.46,44,3,5.47,CA,1718136489
265,urangan,-25.3,152.9,14.0,91,3,2.68,AU,1718136489
266,kloulklubed,7.0419,134.2556,26.28,78,100,2.54,PW,1718136489
267,sayat,38.7839,63.8803,34.23,18,13,5.91,TM,1718136489
268,kingscliff,-28.2667,153.5667,13.2,93,100,1.54,AU,1718136490
269,wenling,28.3669,121.36,22.74,99,100,1.16,CN,1718136490
270,flin flon,54.7682,-101.865,11.91,87,100,1.03,CA,1718136204
271,la'ie,21.6477,-157.9253,28.98,75,56,2.24,US,1718136490
272,hankasalmi,62.3833,26.4333,12.17,78,96,2.29,FI,1718136490
273,sandnessjoen,66.0217,12.6316,9.29,87,75,3.6,NO,1718136490
274,kruisfontein,-34.0033,24.7314,20.49,26,83,11.34,ZA,1718136490
275,castelo do piaui,-5.3222,-41.5525,31.94,39,75,2.18,BR,1718136303
276,mangrol,21.1167,70.1167,29.01,78,0,6.09,IN,1718136490
277,shimoda,34.6667,138.95,18.95,86,100,2.46,JP,1718136490
278,taounate,34.5,-4.8333,22.59,54,1,2.76,MA,1718136490
279,la ronge,55.1001,-105.2842,10.84,83,100,3.31,CA,1718136490
280,nuku'alofa,-21.1333,-175.2,24.19,83,75,9.08,TO,1718136490
281,nouadhibou,20.931,-17.0347,21.99,68,10,6.69,MR,1718136490
282,pisco,-13.7,-76.2167,19.03,77,100,4.12,PE,1718136491
283,raja,8.4596,25.678,23.35,79,93,0.94,SS,1718136491
284,obock,12.25,43.0833,29.33,38,11,5.98,DJ,1718136242
